"geoid","geolevel","year","education_score","education_rnk","education_state_rnk"
"05000US18083","county","2019","99.02","49.4246","50.5495"
"05000US18085","county","2019","92.98","35.6777","30.7692"
"05000US18087","county","2019","25.29","0.0959","0"
"05000US18089","county","2019","110.99","74.3926","80.2198"
"05000US18091","county","2019","99.99","52.11","57.1429"
"05000US18093","county","2019","97.49","46.0038","47.2527"
"05000US18095","county","2019","95.55","41.7519","37.3626"
"05000US18097","county","2019","120.23","85.8376","92.3077"
"05000US18099","county","2019","87.39","25.991","17.5824"
"05000US18101","county","2019","98.31","47.89","49.4505"
"05000US18103","county","2019","90.29","31.3939","21.978"
"05000US18105","county","2019","143.7","97.4425","98.9011"
"05000US18107","county","2019","100.07","52.3657","58.2418"
"05000US18109","county","2019","105.07","63.523","71.4286"
"05000US18111","county","2019","85.34","21.5473","12.0879"
"05000US18113","county","2019","83.48","18.6381","6.5934"
"05000US18115","county","2019","101.03","54.5396","61.5385"
"05000US18117","county","2019","73.52","7.5767","3.2967"
"05000US18119","county","2019","94.02","38.523","34.0659"
"05000US18121","county","2019","81.04","15.3772","4.3956"
"05000US18123","county","2019","97.61","46.3235","48.3516"
"05000US18125","county","2019","85","21.0038","10.989"
"05000US18127","county","2019","120.68","86.3491","93.4066"
"05000US18129","county","2019","116.3","81.6176","86.8132"
"05000US18131","county","2019","90.72","32.0332","23.0769"
"05000US18133","county","2019","104.42","61.8286","65.9341"
"05000US18135","county","2019","87.04","25.2238","15.3846"
"05000US18137","county","2019","100.54","53.5806","60.4396"
"05000US18139","county","2019","88.15","27.3338","19.7802"
